"","ESV_study_names[Summary_df$KO, ]","KO","PRES_ABS","number_genome_present","nb_genome_considered","sub","prod"
"16","carbamoyl-phosphate synthase small subunit [EC:6.3.5.5] (carA, CPA1)","K01956","pres",1,1," L-Glutamine + H2O  ; 2 ATP + L-Glutamine + HCO3- + H2O  ; ATP + Carbamate  ; ATP + HCO3-  ;NA"," L-Glutamate + Ammonia ; 2 ADP + Orthophosphate + L-Glutamate + Carbamoyl phosphate ; ADP + Carbamoyl phosphate ; ADP + Carboxyphosphate ;NA"
"17","acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (adhE)","K04072","pres",1,1," Acetaldehyde + CoA + NAD+  ; Primary alcohol + NAD+  ; Ethanol + NAD+  ; Butanal + CoA + NAD+  ; 3,4-Dihydroxyphenylethyleneglycol + NAD+  ; trans-3-Chloro-2-propene-1-ol + NAD+  ; cis-3-Chloro-2-propene-1-ol + NAD+  ; 1-Hydroxymethylnaphthalene + NAD+  ; (2-Naphthyl)methanol + NAD+ "," Acetyl-CoA + NADH + H+ ; Aldehyde + NADH + H+ ; Acetaldehyde + NADH + H+ ; Butanoyl-CoA + NADH + H+ ; 3,4-Dihydroxymandelaldehyde + NADH + H+ ; trans-3-Chloroallyl aldehyde + NADH + H+ ; cis-3-Chloroallyl aldehyde + NADH + H+ ; 1-Naphthaldehyde + NADH + H+ ; 2-Naphthaldehyde + NADH + H+"
"18","hexosaminidase [EC:3.2.1.52] (HEXA_B)","K12373","pres",1,1," Chitobiose + H2O  ;NA ;NA"," 2 N-Acetyl-D-glucosamine ;NA ;NA"
"19","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (iolG)","K00010","abs",1,5," myo-Inositol + NAD+  ; 1D-chiro-Inositol + NAD+ "," 2,4,6/3,5-Pentahydroxycyclohexanone + NADH + H+ ; 1-Keto-D-chiro-inositol + NADH + H+"
"20","L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3] (E1.1.2.3, lldD)","K00101","abs",4,5," (S)-Lactate + 2 Ferricytochrome c "," Pyruvate + 2 Ferrocytochrome c + 2 H+"
"21","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (frmA, ADH5, adhC)","K00121","abs",1,5," Primary alcohol + NAD+  ; Ethanol + NAD+  ; Retinol + NAD+  ; 3,4-Dihydroxyphenylethyleneglycol + NAD+  ; trans-3-Chloro-2-propene-1-ol + NAD+  ; cis-3-Chloro-2-propene-1-ol + NAD+  ; 1-Hydroxymethylnaphthalene + NAD+  ; (2-Naphthyl)methanol + NAD+  ; S-(Hydroxymethyl)glutathione + NAD+  ; Chloral hydrate + NADH + H+  ; Aldophosphamide + NADH + H+  ; 2-Phenyl-1,3-propanediol monocarbamate + NAD+  ; 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ "," Aldehyde + NADH + H+ ; Acetaldehyde + NADH + H+ ; Retinal + NADH + H+ ; 3,4-Dihydroxymandelaldehyde + NADH + H+ ; trans-3-Chloroallyl aldehyde + NADH + H+ ; cis-3-Chloroallyl aldehyde + NADH + H+ ; 1-Naphthaldehyde + NADH + H+ ; 2-Naphthaldehyde + NADH + H+ ; S-Formylglutathione + NADH + H+ ; Trichloroethanol + NAD+ + H2O ; Alcophosphamide + NAD+ ; 3-Carbamoyl-2-phenylpropionaldehyde + NADH + H+ ; 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+"
"22","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] (mmsA, iolA, ALDH6A1)","K00140","abs",1,5," 3-Oxopropanoate + CoA + NAD+  ; 3-Oxopropanoate + CoA + NADP+  ; 2-Methyl-3-oxopropanoate + CoA + NAD+  ; (S)-Methylmalonate semialdehyde + CoA + NAD+ "," Acetyl-CoA + CO2 + NADH + H+ ; Acetyl-CoA + CO2 + NADPH + H+ ; Propanoyl-CoA + CO2 + NADH + H+ ; Propanoyl-CoA + CO2 + NADH + H+"
"23","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37] (DNMT1, dcm)","K00558","abs",1,5," S-Adenosyl-L-methionine + DNA cytosine "," S-Adenosyl-L-homocysteine + DNA 5-methylcytosine"
"24","8-amino-7-oxononanoate synthase [EC:2.3.1.47] (bioF)","K00652","abs",4,5," 6-Carboxyhexanoyl-CoA + L-Alanine  ; Pimeloyl-[acyl-carrier protein] + L-Alanine "," 8-Amino-7-oxononanoate + CoA + CO2 ; 8-Amino-7-oxononanoate + Acyl-carrier protein + CO2"
"25","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3] (thiE)","K00788","abs",5,5," 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole  ; 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate "," Diphosphate + Thiamin monophosphate ; Thiamin monophosphate + Diphosphate + CO2"
"26","adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62] (bioA)","K00833","abs",4,5," S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate "," S-Adenosyl-4-methylthio-2-oxobutanoate + 7,8-Diaminononanoate"
"27","hydroxyethylthiazole kinase [EC:2.7.1.50] (thiM)","K00878","abs",5,5," ATP + 5-(2-Hydroxyethyl)-4-methylthiazole "," ADP + 4-Methyl-5-(2-phosphooxyethyl)thiazole"
"28","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7] (thiD)","K00941","abs",5,5," ATP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine  ; ATP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine "," ADP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine ; ADP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate"
"29","thiamine-monophosphate kinase [EC:2.7.4.16] (thiL)","K00946","abs",5,5," ATP + Thiamin monophosphate "," ADP + Thiamin diphosphate"
"30","thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] (TST, MPST, sseA)","K01011","abs",1,5," Thiosulfate + Cyanide ion  ; Mercaptopyruvate + Sulfite  ; Hydrogen cyanide + Mercaptopyruvate "," Sulfite + Thiocyanate ; Thiosulfate + Pyruvate ; Thiocyanate + Pyruvate"
"31","5'-nucleotidase [EC:3.1.3.5] (E3.1.3.5)","K01081","abs",2,5," AMP + H2O  ; CMP + H2O  ; UMP + H2O  ; IMP + H2O  ; GMP + H2O  ; dTMP + H2O  ; dCMP + H2O  ; dGMP + H2O  ; dAMP + H2O  ; dUMP + H2O  ; Nicotinamide D-ribonucleotide + H2O  ; Xanthosine 5'-phosphate + H2O  ; Nicotinate D-ribonucleotide + H2O "," Adenosine + Orthophosphate ; Cytidine + Orthophosphate ; Uridine + Orthophosphate ; Inosine + Orthophosphate ; Guanosine + Orthophosphate ; Thymidine + Orthophosphate ; Deoxycytidine + Orthophosphate ; Deoxyguanosine + Orthophosphate ; Deoxyadenosine + Orthophosphate ; Deoxyuridine + Orthophosphate ; Nicotinamide-beta-riboside + Orthophosphate ; Xanthosine + Orthophosphate ; Nicotinate D-ribonucleoside + Orthophosphate"
"32","urease subunit alpha [EC:3.5.1.5] (ureC)","K01428","abs",2,5," Urea + H2O "," CO2 + 2 Ammonia"
"33","urease subunit beta [EC:3.5.1.5] (ureB)","K01429","abs",2,5," Urea + H2O "," CO2 + 2 Ammonia"
"34","urease subunit gamma [EC:3.5.1.5] (ureA)","K01430","abs",2,5," Urea + H2O "," CO2 + 2 Ammonia"
"35","cytosine deaminase [EC:3.5.4.1] (codA)","K01485","abs",5,5," Cytosine + H2O  ; 5-Methylcytosine + H2O  ; Creatinine + H2O "," Uracil + Ammonia ; Thymine + Ammonia ; N-Methylhydantoin + Ammonia"
"36","oxaloacetate decarboxylase, alpha subunit [EC:4.1.1.3] (oadA)","K01571","abs",1,5," Oxaloacetate "," Pyruvate + CO2"
"37","oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3] (oadB)","K01572","abs",1,5," Oxaloacetate "," Pyruvate + CO2"
"38","oxaloacetate decarboxylase, gamma subunit [EC:4.1.1.3] (oadG)","K01573","abs",1,5," Oxaloacetate "," Pyruvate + CO2"
"39","ornithine decarboxylase [EC:4.1.1.17] (E4.1.1.17, ODC1, speC, speF)","K01581","abs",5,5," L-Ornithine "," Putrescine + CO2"
"40","N-acetylneuraminate synthase [EC:2.5.1.56] (E2.5.1.56, neuB)","K01654","abs",1,5," N-Acetylneuraminate + Orthophosphate  ; N-acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)"," N-Acetyl-D-mannosamine + Phosphoenolpyruvate + H2O ;NA"
"41","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14] (wecB)","K01791","abs",1,5," UDP-N-acetyl-alpha-D-glucosamine "," UDP-N-acetyl-D-mannosamine"
"42","4-oxalocrotonate tautomerase [EC:5.3.2.6] (praC, xylH)","K01821","abs",1,5,"NA ; 2-Hydroxy-5-methyl-cis,cis-muconate ","NA ; 2-Oxo-5-methyl-cis-muconate"
"43","glutamate--cysteine ligase [EC:6.3.2.2] (gshA)","K01919","abs",5,5," ATP + L-Glutamate + L-Cysteine  ; ATP + L-Glutamate + (S)-2-Aminobutanoate "," ADP + Orthophosphate + gamma-L-Glutamyl-L-cysteine ; ADP + Orthophosphate + gamma-L-Glutamyl-L-2-aminobutyrate"
"44","malonyl-CoA O-methyltransferase [EC:2.1.1.197] (bioC)","K02169","abs",4,5," S-Adenosyl-L-methionine + Malonyl-[acyl-carrier protein] "," S-Adenosyl-L-homocysteine + Malonyl-[acp] methyl ester"
"45","inosose dehydratase [EC:4.2.1.44] (iolE)","K03335","abs",1,5," 2,4,6/3,5-Pentahydroxycyclohexanone  ;NA"," 3D-3,5/4-Trihydroxycyclohexane-1,2-dione + H2O ;NA"
"46","3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22] (iolD)","K03336","abs",1,5," 3D-3,5/4-Trihydroxycyclohexane-1,2-dione + H2O "," 5-Deoxy-D-glucuronate"
"47","5-deoxy-glucuronate isomerase [EC:5.3.1.30] (iolB)","K03337","abs",1,5," 5-Deoxy-D-glucuronate "," 2-Deoxy-5-keto-D-gluconic acid"
"48","5-dehydro-2-deoxygluconokinase [EC:2.7.1.92] (iolC)","K03338","abs",1,5," 2-Deoxy-5-keto-D-gluconic acid + ATP "," 2-Deoxy-5-keto-D-gluconic acid 6-phosphate + ADP"
"49","thiaminase (transcriptional activator TenA) [EC:3.5.99.2] (tenA)","K03707","abs",5,5," Thiamine + H2O  ; 4-Amino-5-aminomethyl-2-methylpyrimidine + H2O "," 4-Amino-5-hydroxymethyl-2-methylpyrimidine + 5-(2-Hydroxyethyl)-4-methylthiazole + H+ ; 4-Amino-5-hydroxymethyl-2-methylpyrimidine + Ammonia"
"50","pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85] (bioG)","K09789","abs",4,5," Pimeloyl-[acyl-carrier protein] methyl ester + H2O "," Pimeloyl-[acyl-carrier protein] + Methanol"
