"","ESV_study_names[Summary_df$KO, ]","KO","PRES_ABS","number_genome_present","nb_genome_considered","sub","prod"
"21","beta-glucosidase [EC:3.2.1.21] (bglX)","K05349","pres",1,1," Cellobiose + H2O  ; Prunasin + H2O  ; Cellodextrin + (n-2) H2O  ; Prunasin + D-Glucose  ; beta-D-Glucoside + H2O  ; Cyanoglycoside + H2O  ; cis-beta-D-Glucosyl-2-hydroxycinnamate + H2O  ; Dhurrin + H2O  ; Lotaustralin + H2O  ; Linamarin + H2O "," 2 beta-D-Glucose ; Mandelonitrile + D-Glucose ; (n-2) D-Glucose + Cellobiose ; Amygdalin + H2O ; D-Glucose + ROH ; Cyanohydrin + D-Glucose ; cis-2-Hydroxycinnamate + D-Glucose ; (S)-4-Hydroxymandelonitrile + beta-D-Glucose ; (2R)-2-Hydroxy-2-methylbutanenitrile + beta-D-Glucose ; Acetone cyanohydrin + beta-D-Glucose"
"22","diacylglycerol kinase (ATP) [EC:2.7.1.107] (dagK)","K07029","pres",1,1," ATP + 1,2-Diacyl-sn-glycerol "," ADP + Phosphatidate"
"23","tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40] (gatY-kbaY)","K08302","pres",1,1," D-Tagatose 1,6-bisphosphate "," Glycerone phosphate + D-Glyceraldehyde 3-phosphate"
"24","uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75] (cobA-hemD)","K13542","pres",1,1," Hydroxymethylbilane  ; 2 S-Adenosyl-L-methionine + Uroporphyrinogen III "," Uroporphyrinogen III + H2O ; 2 S-Adenosyl-L-homocysteine + Precorrin 2"
"25","urease subunit gamma/beta [EC:3.5.1.5] (ureAB)","K14048","pres",1,1," Urea + H2O "," CO2 + 2 Ammonia"
"26","alanine dehydrogenase [EC:1.4.1.1] (ala)","K19244","pres",1,1," L-Alanine + NAD+ + H2O "," Pyruvate + Ammonia + NADH + H+"
"27","isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] (IDH3)","K00030","abs",1,1," Isocitrate + NAD+ "," 2-Oxoglutarate + CO2 + NADH + H+"
"28","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] (PGD, gnd, gntZ)","K00033","abs",1,1," 6-Phospho-D-gluconate + NADP+  ; 6-Phospho-D-gluconate + NAD+ "," D-Ribulose 5-phosphate + CO2 + NADPH + H+ ; D-Ribulose 5-phosphate + CO2 + NADH + H+"
"29","xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4] (ygeS, xdhA)","K00087","abs",1,1," Hypoxanthine + NAD+ + H2O  ; Xanthine + NAD+ + H2O "," Xanthine + NADH + H+ ; Urate + NADH + H+"
"30","formate dehydrogenase major subunit [EC:1.2.1.2] (fdoG, fdfH)","K00123","abs",1,1," Formate + NAD+ "," H+ + CO2 + NADH"
"31","acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10] (E1.2.1.10)","K00132","abs",1,1," Acetaldehyde + CoA + NAD+  ; Butanal + CoA + NAD+ "," Acetyl-CoA + NADH + H+ ; Butanoyl-CoA + NADH + H+"
"32","formate C-acetyltransferase [EC:2.3.1.54] (E2.3.1.54, pflD)","K00656","abs",1,1," Acetyl-CoA + Formate  ; 2-Oxobutanoate + CoA "," CoA + Pyruvate ; Propanoyl-CoA + Formate"
"33","diamine N-acetyltransferase [EC:2.3.1.57] (speG)","K00657","abs",1,1," Acetyl-CoA + Putrescine "," CoA + N-Acetylputrescine"
"34","xylulokinase [EC:2.7.1.17] (xylB, XYLB)","K00854","abs",1,1," ATP + D-Xylulose "," ADP + D-Xylulose 5-phosphate"
"35","5-methylthioribose kinase [EC:2.7.1.100] (mtnK)","K00899","abs",1,1," ATP + 5-Methylthio-D-ribose "," ADP + S-Methyl-5-thio-D-ribose 1-phosphate"
"36","tagatose 6-phosphate kinase [EC:2.7.1.144] (lacC)","K00917","abs",1,1," D-Tagatose 6-phosphate + ATP "," D-Tagatose 1,6-bisphosphate + ADP"
"37","selenide, water dikinase [EC:2.7.9.3] (selD, SEPHS)","K01008","abs",1,1," ATP + Hydrogen selenide + H2O "," AMP + Selenophosphoric acid + Orthophosphate"
"38","dihydropyrimidinase [EC:3.5.2.2] (DPYS, dht, hydA)","K01464","abs",1,1," 5,6-Dihydrouracil + H2O  ; (R)-5,6-Dihydrothymine + H2O  ; 5,6-Dihydro-5-fluorouracil + H2O "," 3-Ureidopropionate ; (R)-3-Ureidoisobutyrate ; alpha-Fluoro-beta-ureidopropionic acid"
"39","adenine deaminase [EC:3.5.4.2] (ade)","K01486","abs",1,1," Adenine + H2O "," Hypoxanthine + Ammonia"
"40","guanine deaminase [EC:3.5.4.3] (E3.5.4.3, guaD)","K01487","abs",1,1," Guanine + H2O "," Xanthine + Ammonia"
"41","diaminopimelate decarboxylase [EC:4.1.1.20] (lysA)","K01586","abs",1,1," meso-2,6-Diaminoheptanedioate "," L-Lysine + CO2"
"42","uroporphyrinogen decarboxylase [EC:4.1.1.37] (hemE, UROD)","K01599","abs",1,1," Uroporphyrinogen III  ; Uroporphyrinogen I "," Coproporphyrinogen III + 4 CO2 ; Coproporphyrinogen I + 4 CO2"
"43","tagatose 1,6-diphosphate aldolase [EC:4.1.2.40] (lacD)","K01635","abs",1,1," D-Tagatose 1,6-bisphosphate "," Glycerone phosphate + D-Glyceraldehyde 3-phosphate"
"44","citrate synthase [EC:2.3.3.1] (CS, gltA)","K01647","abs",1,1," Citrate + CoA "," Acetyl-CoA + H2O + Oxaloacetate"
"45","aconitate hydratase [EC:4.2.1.3] (ACO, acnA)","K01681","abs",1,1," Citrate  ; Citrate  ; Isocitrate "," Isocitrate ; cis-Aconitate + H2O ; cis-Aconitate + H2O"
"46","L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4] (araD)","K01786","abs",1,1,"NA","NA"
"47","1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-] (menA)","K02548","abs",1,1," 1,4-Dihydroxy-2-naphthoate + all-trans-Octaprenyl diphosphate  ;NA ; all-trans-Polyprenyl diphosphate + 1,4-Dihydroxy-2-naphthoate "," 2-Demethylmenaquinone + Diphosphate + CO2 ;NA ; Demethylmenaquinol + Diphosphate + CO2"
"48","PTS system, fructose-specific IIA component [EC:2.7.1.69] (PTS-Fru-EIIA, fruB)","K02768","abs",1,1," Protein N(pi)-phospho-L-histidine + D-Fructose "," Protein histidine + D-Fructose 1-phosphate"
"49","PTS system, fructose-specific IIB component [EC:2.7.1.69] (PTS-Fru-EIIB, fruA)","K02769","abs",1,1," Protein N(pi)-phospho-L-histidine + D-Fructose "," Protein histidine + D-Fructose 1-phosphate"
"50","PTS system, mannose-specific IIA component [EC:2.7.1.69] (PTS-Man-EIIA, manX)","K02793","abs",1,1," Protein N(pi)-phospho-L-histidine + D-Mannose "," Protein histidine + D-Mannose 6-phosphate"
"51","L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22] (ulaE, sgaU)","K03079","abs",1,1," L-xylulose 5-phosphate 3-epimerase","NA"
"52","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201] (ubiE)","K03183","abs",1,1," 2-Octaprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine  ; 2-Demethylmenaquinone + S-Adenosyl-L-methionine  ;NA ;NA ; Demethylmenaquinol + S-Adenosyl-L-methionine "," 2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine ; Menaquinone + S-Adenosyl-L-homocysteine ;NA ;NA ; Menaquinol + S-Adenosyl-L-homocysteine"
"53","L-ascorbate 6-phosphate lactonase [EC:3.1.1.-] (ulaG)","K03476","abs",1,1,"NA","NA"
"54","cyclic pyranopterin phosphate synthase [EC:4.1.99.18] (moaC)","K03637","abs",1,1," (8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + H2O "," Precursor Z + Diphosphate"
"55","cyclic pyranopterin phosphate synthase [EC:4.1.99.18] (MOCS1, moaA)","K03639","abs",1,1," GTP + S-Adenosyl-L-methionine + Reduced acceptor "," (8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + 5'-Deoxyadenosine + L-Methionine + Acceptor"
"56","prephenate dehydrogenase [EC:1.3.1.12] (tyrA2)","K04517","abs",1,1," Prephenate + NAD+ "," 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+"
"57","N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126] (murQ)","K07106","abs",1,1," N-acetylmuramate 6-phosphate-forming)","NA"
"58","methylthioribose-1-phosphate isomerase [EC:5.3.1.23] (mtnA)","K08963","abs",1,1," S-Methyl-5-thio-D-ribose 1-phosphate "," S-Methyl-5-thio-D-ribulose 1-phosphate"
"59","xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4] (ygeT, xdhB)","K13479","abs",1,1," Hypoxanthine + NAD+ + H2O  ; Xanthine + NAD+ + H2O "," Xanthine + NADH + H+ ; Urate + NADH + H+"
"60","bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8] (tilS-hprT)","K15780","abs",1,1," IMP + Diphosphate  ; GMP + Diphosphate  ; Xanthosine 5'-phosphate + Diphosphate "," Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate ; Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate ; Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate"
